Nombre Original PDF;Gama Extraída;Peso Sugerido Web;PVP;Ruta de Foto Asignada por el Bot;Foto Correcta? (SI/NO);Ruta CORRECTA de Foto (si la anterior es NO)
Lenda Indoor & Sterilized;Lenda;7 kg;43,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Urban Gatos\Lenda-Urban-GATO-7Kg.png;;
Lenda Farm Poultry GF;Lenda;2 kg;19,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Lenda Gatos Original Sin Cereales\LENDA-CAT-FARM-POULTRY.png;;
Lenda Farm Poultry GF;Lenda;7 kg;54,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Lenda Gatos Original Sin Cereales\LENDA-CAT-FARM-POULTRY.png;;
Lenda Light & Sterilized GF;Lenda;2 kg;19,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Lenda Gatos Original Sin Cereales\LENDA-CAT-LIGHT-STERILIZED.png;;
Lenda Light & Sterilized GF;Lenda;7 kg;54,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Lenda Gatos Original Sin Cereales\LENDA-CAT-LIGHT-STERILIZED.png;;
Lenda Senior & Sterilized GF;Lenda;2 kg;19,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Lenda Gatos Original Sin Cereales\LENDA-CAT-SENIOR-STERILIZED.png;;
Lenda Senior & Sterilized GF;Lenda;7 kg;54,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Lenda Gatos Original Sin Cereales\LENDA-CAT-SENIOR-STERILIZED.png;;
Lenda Sensitive & Sterilized GF;Lenda;2 kg;19,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Lenda Gatos Original Sin Cereales\LENDA-GATO-SENSITIVE-STERILIZED.png;;
Lenda Kitten Poultry & Fish GF;Lenda;2 kg;19,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Lenda Gatos Original Sin Cereales\LENDA-CAT-KITTEN-POULTRYFISH.png;;
Lenda Merluza al Natural;Lenda;120 g;3,2;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación humeda\Gama Lenda Foodie Gatos\Lenda-Foodie-gato-Merluza-natural.png;;
Lenda Troncos de Caballa;Lenda;120 g;2,7;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación humeda\Gama Lenda Foodie Gatos\Lenda-Foodie-gato-Troncos-de-caballa-en-trozos.png;;
Lenda Merluza y Lomo Atún;Lenda;120 g;3,2;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación humeda\Gama Lenda Foodie Gatos\Lenda-Foodie-gato-Merluza-y-lomo-negro-de-atun.png;;
Lenda Lomo Atún y Gambas;Lenda;120 g;2,7;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación humeda\Gama Lenda Foodie Gatos\Lenda-Foodie-gato-Lomo-negro-de-atun-con-gambas.png;;
Lenda Aves de Corral con Atún;Lenda;400 g;2,8;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación humeda\Gama Lenda Wet Gatos\gato-poultry-with-tuna-web.png;;
Lenda Aves de Corral con Calabaza;Lenda;400 g;2,8;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación humeda\Gama Lenda Wet Gatos\gato-poultry-with-pumpkin-web.png;;
Lenda Pollo con Buey y Arándanos;Lenda;400 g;2,8;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación humeda\Gama Lenda Wet Gatos\gato-chicken-ox-andberries-web.png;;
Lenda Cerdo con Pavo y Arándanos;Lenda;400 g;3,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación humeda\Gama Lenda Wet Gatos\gato-rich-in-pork-andberries-web.png;;
Lenda Lenda SuperPEPA;Lenda;20 kg;54,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Lenda-SuperPepa.jpg;;
Lenda Vet RENAL & OXALATE;Veterinaria;2 kg;22,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-RENAL-WEB.png;;
Lenda Vet RENAL & OXALATE;Veterinaria;10 kg;80,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-RENAL-WEB.png;;
Lenda Vet DIABETIC;Veterinaria;2 kg;22,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-DIABETIC-WEB.png;;
Lenda Vet DIABETIC;Veterinaria;10 kg;74,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-DIABETIC-WEB.png;;
Lenda Vet ALLERGENIC SOLUTION;Veterinaria;2 kg;25,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-ALLERGENIC-WEB.png;;
